sep=,
Reference, Value, Footprint, Datasheet, Comment
"C2","0,1µF","Capacitors_SMD:C_0603_HandSoldering",""
"C1","10nF","Capacitors_SMD:C_0603_HandSoldering",""
"J1","Micro_SD_Card_Det","wifiSens:Conn_uSDcard",""
"R1","10k","Resistors_SMD:R_0603",""
"R2","10k","Resistors_SMD:R_0603",""
"R3","10k","Resistors_SMD:R_0603",""
"C3","1µF","Capacitors_SMD:C_0603_HandSoldering",""
"U1","pl2303","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm",""
"C4","16pF","Capacitors_SMD:C_0603_HandSoldering",""
"C5","16pF","Capacitors_SMD:C_0603_HandSoldering",""
"Y1","Crystal","Crystals:Crystal_SMD_HC49-SD_HandSoldering",""
"C6","10µF","Capacitors_SMD:C_0603_HandSoldering",""
"C7","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C8","10µF","Capacitors_SMD:C_0603_HandSoldering",""
"C9","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"Q1","MMBT8050","TO_SOT_Packages_SMD:SOT-23",""
"Q2","MMBT8050","TO_SOT_Packages_SMD:SOT-23",""
"R5","12","Resistors_SMD:R_0603",""
"R4","12k","Resistors_SMD:R_0603",""
"U2","ESP-12E","ESP8266:ESP-12E",""
"J2","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch1.00mm",""
"TP3","+3V3","Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm",""
"TP1","GND","Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm",""
"TP2","ADC","Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm",""
"C11","100µF","Capacitors_SMD:C_0603_HandSoldering",""
"R7","12k","Resistors_SMD:R_0603",""
"R8","12k","Resistors_SMD:R_0603",""
"R9","12k","Resistors_SMD:R_0603",""
"R10","12k","Resistors_SMD:R_0603",""
"R6","12k","Resistors_SMD:R_0603",""
"C10","C","Capacitors_SMD:C_0603_HandSoldering",""
"U4","LM1117-3.3","TO_SOT_Packages_SMD:SOT-223","","NB"
"U3","LP2985LV","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering",""
"U5","TP4056","TO_SOT_Packages_SMD:SuperSOT-8",""
"C14","10µF","Capacitors_SMD:C_0603_HandSoldering","10","NB"
"C16","10µF","Capacitors_SMD:C_0603_HandSoldering","","NB"
"R14","0R0","Resistors_SMD:R_0603","","NB"
"R11","0r0","Resistors_SMD:R_0603",""
"C12","1µF","Capacitors_SMD:C_0603_HandSoldering",""
"C13","0,01µF","Capacitors_SMD:C_0603_HandSoldering",""
"C15","2,2µF","Capacitors_SMD:C_0603_HandSoldering",""
"R15","3k3","Resistors_SMD:R_0603",""
"D2","RB551v-30","Diodes_SMD:D_SOD-323",""
"R13","0r0","Resistors_SMD:R_0603",""
"R16","0r0","Resistors_SMD:R_0603",""
"R17","1k5","Resistors_SMD:R_0603",""
"R20","1k","Resistors_SMD:R_0603",""
"R21","1k","Resistors_SMD:R_0603",""
"C17","10µF","Capacitors_SMD:C_0603_HandSoldering",""
"R18","0r0","Resistors_SMD:R_0603",""
"R19","0r0","Resistors_SMD:R_0603",""
"D3","LED","LEDs:LED_0805_HandSoldering",""
"D4","LED","LEDs:LED_0805_HandSoldering",""
"D1","RB551v-30","Diodes_SMD:D_SOD-323",""
"RB551v-30","D_Schottky","Diodes_SMD:D_SOD-323",""
"R12","0r0","Resistors_SMD:R_0603",""
"J6","USB_OTG","Connectors:USB_Micro-B",""
"J3","CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"J4","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"J5","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"R27","0R0","Resistors_SMD:R_0603",""
"R22","0R0","Resistors_SMD:R_0603",""
"R25","0R0","Resistors_SMD:R_0603",""
"IC1","DHT22","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"C20","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C18","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C19","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"R24","470","Resistors_SMD:R_0603",""
"R23","0r0","Resistors_SMD:R_0603",""
"C21","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C22","10µF","Capacitors_SMD:C_1206_HandSoldering",""
"R26","1k","Resistors_SMD:R_0603",""
"D5","RB551v-30","Diodes_SMD:D_SOD-323",""
"SW1","SW_Push","Buttons_Switches_SMD:SW_MEC_5GSH9",""
"R28","470","Resistors_SMD:R_0603",""
"R29","0r0","Resistors_SMD:R_0603",""
"R30","470","Resistors_SMD:R_0603",""
"R31","470","Resistors_SMD:R_0603",""
"SW2","SW_Push","Buttons_Switches_SMD:SW_MEC_5GSH9",""
"D6","LED","LEDs:LED_0805_HandSoldering",""
"R33","220k","Resistors_SMD:R_0603",""
"R34","100k","Resistors_SMD:R_0603",""
"R32","330k","Resistors_SMD:R_0603",""
"R35","100k","Resistors_SMD:R_0603",""
"TP4","ADC","Pin_Headers:Pin_Header_Straight_1x01_Pitch1.00mm",""
